filename,size,status,enc_entropy,corr_h,corr_v,corr_d,uniformity,mse,perfect_match
2.1.01.tiff,512x512,OK,7.9994,-0.0203,-0.001,0.0006,97.09,0,TRUE
2.1.02.tiff,512x512,OK,7.9992,0.0336,-0.0014,-0.0001,96.76,0,TRUE
2.1.03.tiff,512x512,OK,7.9994,-0.0508,-0.0057,-0.0007,97.03,0,TRUE
2.1.04.tiff,512x512,OK,7.9994,0.0149,0.0006,0.0043,97.06,0,TRUE
2.1.05.tiff,512x512,OK,7.9992,-0.0092,-0.0011,-0.0002,96.61,0,TRUE
2.1.06.tiff,512x512,OK,7.9994,0.0283,0.0028,0,97.13,0,TRUE
2.1.07.tiff,512x512,OK,7.9993,0.0667,-0.0015,-0.0028,96.99,0,TRUE
2.1.08.tiff,512x512,OK,7.9992,0.0748,-0.0003,-0.0003,96.78,0,TRUE
2.1.09.tiff,512x512,OK,7.9993,0.07,0.0009,0,96.81,0,TRUE
2.1.10.tiff,512x512,OK,7.9993,0.0698,-0.0019,0.0005,96.88,0,TRUE
2.1.11.tiff,512x512,OK,7.9993,-0.0214,0.0004,0.0004,96.83,0,TRUE
2.1.12.tiff,512x512,OK,7.9993,0.0775,0.0031,0.0008,96.8,0,TRUE
2.2.01.tiff,1024x1024,OK,7.9998,-0.0135,0.0002,0,98.49,0,TRUE
2.2.02.tiff,1024x1024,OK,7.9998,0.07,-0.0016,0.0013,98.51,0,TRUE
2.2.03.tiff,1024x1024,OK,7.9998,0.0792,-0.0001,-0.0004,98.43,0,TRUE
2.2.04.tiff,1024x1024,OK,7.9998,0.0642,0.0004,-0.0005,98.36,0,TRUE
2.2.05.tiff,1024x1024,OK,7.9998,-0.0189,0.0016,-0.0021,98.44,0,TRUE
2.2.06.tiff,1024x1024,OK,7.9998,0.0753,0.0014,0.0003,98.41,0,TRUE
2.2.07.tiff,1024x1024,OK,7.9998,0.0776,-0.0007,0.0005,98.33,0,TRUE
2.2.08.tiff,1024x1024,OK,7.9998,-0.0113,0.0003,0.0003,98.55,0,TRUE
2.2.09.tiff,1024x1024,OK,7.9998,0.0679,0.0019,-0.0011,98.38,0,TRUE
2.2.10.tiff,1024x1024,OK,7.9998,0.0693,0.0004,0.0005,98.37,0,TRUE
2.2.11.tiff,1024x1024,OK,7.9998,0.0619,0.0015,0.0016,98.34,0,TRUE
2.2.12.tiff,1024x1024,OK,7.9998,0.0384,-0.0001,0.0002,98.32,0,TRUE
2.2.13.tiff,1024x1024,OK,7.9998,-0.055,0.0004,0.0014,98.54,0,TRUE
2.2.14.tiff,1024x1024,OK,7.9998,0.0149,-0.0013,0.0003,98.49,0,TRUE
2.2.15.tiff,1024x1024,OK,7.9998,0.0587,-0.0008,-0.001,98.46,0,TRUE
2.2.16.tiff,1024x1024,OK,7.9998,-0.0007,0.0004,0.0009,98.49,0,TRUE
2.2.17.tiff,1024x1024,OK,7.9998,0.0255,0.0006,0.0011,98.35,0,TRUE
2.2.18.tiff,1024x1024,OK,7.9998,0.0552,0.0005,0.0009,98.4,0,TRUE
2.2.19.tiff,1024x1024,OK,7.9998,0.07,-0.0003,0.0002,98.49,0,TRUE
2.2.20.tiff,1024x1024,OK,7.9998,0.0391,-0.0018,0.0003,98.44,0,TRUE
2.2.21.tiff,1024x1024,OK,7.9999,0.0577,0.0008,0.0007,98.56,0,TRUE
2.2.22.tiff,1024x1024,OK,7.9998,0.07,0,0.0012,98.52,0,TRUE
2.2.23.tiff,1024x1024,OK,7.9998,0.0703,0.0013,-0.0004,98.29,0,TRUE
2.2.24.tiff,1024x1024,OK,7.9998,-0.0491,-0.0006,-0.0006,98.38,0,TRUE
3.2.25.tiff,1024x1024,OK,7.9998,0.0231,0,-0.0007,98.47,0,TRUE
wash-ir.tiff,2250x2250,OK,8,-0.0027,0.0003,0.0004,99.3,0,TRUE
,,,,,,,,,
metric,mean,std,min,max,,,,,
enc_entropy,7.9997,0.0002,7.9992,8,,,,,
corr_h,0.0334,0.0411,-0.055,0.0792,,,,,
corr_v,0,0.0015,-0.0057,0.0031,,,,,
corr_d,0.0002,0.0011,-0.0028,0.0043,,,,,
uniformity,97.9705,0.7495,96.61,99.3,,,,,
mse,0,0,0,0,,,,,
perfect_match_rate,38/38,,,,,,,,
