filename,size,status,enc_entropy,corr_h,corr_v,corr_d,uniformity,mse,perfect_match
6.1.01.tiff,256x256,OK,7.9972,-0.0413,0.0011,-0.0066,93.73,0,TRUE
6.1.02.tiff,256x256,OK,7.9973,-0.0462,-0.0024,-0.0002,93.85,0,TRUE
6.1.03.tiff,256x256,OK,7.9973,-0.0436,0.0023,-0.0004,93.93,0,TRUE
6.1.04.tiff,256x256,OK,7.9974,-0.0436,0.0014,0.0012,94.03,0,TRUE
6.1.05.tiff,256x256,OK,7.9968,-0.0462,0.0001,-0.0054,93.29,0,TRUE
6.1.06.tiff,256x256,OK,7.9975,-0.0441,-0.0034,-0.0006,94.1,0,TRUE
6.1.07.tiff,256x256,OK,7.9971,-0.0452,-0.0022,-0.0021,93.61,0,TRUE
6.1.08.tiff,256x256,OK,7.9976,-0.0483,-0.003,0.0037,94.26,0,TRUE
6.1.09.tiff,256x256,OK,7.9975,-0.0505,0.0027,-0.0057,94.13,0,TRUE
6.1.10.tiff,256x256,OK,7.9973,-0.0515,0.0029,-0.005,93.9,0,TRUE
6.1.11.tiff,256x256,OK,7.9972,-0.0545,0.0034,0.0013,93.75,0,TRUE
6.1.12.tiff,256x256,OK,7.9969,-0.049,-0.0008,-0.0069,93.48,0,TRUE
6.1.13.tiff,256x256,OK,7.9974,-0.0498,-0.0016,0.0046,93.99,0,TRUE
6.1.14.tiff,256x256,OK,7.9969,-0.0545,-0.005,0.003,93.43,0,TRUE
6.1.15.tiff,256x256,OK,7.9975,-0.0526,0.0019,-0.0032,94.17,0,TRUE
6.1.16.tiff,256x256,OK,7.9972,-0.0469,0.0042,0.0013,93.78,0,TRUE
6.2.01.tiff,256x256,OK,7.9973,-0.0593,-0.0028,0.0001,93.89,0,TRUE
6.2.02.tiff,256x256,OK,7.9971,-0.0485,-0.0056,-0.0044,93.66,0,TRUE
6.2.03.tiff,256x256,OK,7.9972,-0.041,-0.0057,0.0056,93.74,0,TRUE
6.2.04.tiff,256x256,OK,7.997,-0.0434,0.0014,-0.005,93.61,0,TRUE
6.2.05.tiff,256x256,OK,7.9969,-0.0429,0.0016,0.0085,93.44,0,TRUE
6.2.06.tiff,256x256,OK,7.9965,-0.0366,0.0012,-0.0008,93.06,0,TRUE
6.2.07.tiff,256x256,OK,7.9971,-0.0343,0.0005,0.0027,93.68,0,TRUE
6.2.08.tiff,256x256,OK,7.9974,-0.0352,0.0011,0.0013,94,0,TRUE
6.2.09.tiff,256x256,OK,7.9974,-0.0444,-0.0006,0.0061,93.97,0,TRUE
6.2.10.tiff,256x256,OK,7.9973,-0.0236,-0.0016,-0.0013,93.91,0,TRUE
6.2.11.tiff,256x256,OK,7.9971,-0.023,0.0043,0.0025,93.68,0,TRUE
6.2.12.tiff,256x256,OK,7.997,-0.0297,0.0033,-0.0024,93.5,0,TRUE
6.2.13.tiff,256x256,OK,7.997,-0.0378,-0.0069,0.0049,93.62,0,TRUE
6.2.14.tiff,256x256,OK,7.9973,-0.0364,0,-0.0011,93.93,0,TRUE
6.2.15.tiff,256x256,OK,7.9974,-0.0327,0.0002,-0.0004,93.98,0,TRUE
6.2.16.tiff,256x256,OK,7.9968,-0.0374,-0.0061,-0.0053,93.38,0,TRUE
6.2.17.tiff,256x256,OK,7.9976,-0.0552,0.003,-0.0044,94.2,0,TRUE
6.2.18.tiff,256x256,OK,7.9975,-0.0387,0.0025,-0.0045,94.08,0,TRUE
6.2.19.tiff,256x256,OK,7.9971,-0.0328,-0.0046,0.0002,93.65,0,TRUE
6.2.20.tiff,256x256,OK,7.9972,-0.0319,-0.0039,0.0032,93.73,0,TRUE
6.2.21.tiff,256x256,OK,7.9975,-0.0341,0.0009,-0.0005,94.13,0,TRUE
6.2.22.tiff,256x256,OK,7.9975,-0.0356,-0.0017,0.0054,94.15,0,TRUE
6.2.23.tiff,256x256,OK,7.9975,-0.0312,-0.0089,0.006,94.16,0,TRUE
6.2.24.tiff,256x256,OK,7.9973,-0.0362,0.0032,-0.0024,93.86,0,TRUE
6.2.25.tiff,256x256,OK,7.9977,-0.0435,0.0057,0.0003,94.37,0,TRUE
6.2.26.tiff,256x256,OK,7.9974,-0.0219,-0.0069,0.0006,94.02,0,TRUE
6.2.27.tiff,256x256,OK,7.997,-0.0214,-0.005,-0.0017,93.6,0,TRUE
6.2.28.tiff,256x256,OK,7.9973,-0.0265,-0.0013,0.0009,93.86,0,TRUE
6.2.29.tiff,256x256,OK,7.9968,-0.0324,-0.0006,0.0031,93.32,0,TRUE
6.2.30.tiff,256x256,OK,7.9972,-0.034,-0.0013,0.002,93.83,0,TRUE
6.2.31.tiff,256x256,OK,7.9974,-0.0342,-0.0026,0.0044,93.97,0,TRUE
6.2.32.tiff,256x256,OK,7.9968,-0.0337,-0.0036,-0.0012,93.38,0,TRUE
6.3.01.tiff,256x256,OK,7.9972,-0.0603,0.0052,0.0035,93.75,0,TRUE
6.3.02.tiff,256x256,OK,7.9972,-0.0478,0.0005,-0.0092,93.79,0,TRUE
6.3.03.tiff,256x256,OK,7.9974,-0.0528,-0.0019,0.0006,93.97,0,TRUE
6.3.04.tiff,256x256,OK,7.9972,-0.0622,-0.0046,-0.0021,93.79,0,TRUE
