filename,size,status,enc_entropy,corr_h,corr_v,corr_d,uniformity,mse,perfect_match
1.1.01.tiff,512x512,OK,7.9992,0.0068,0.0018,0.0019,96.64,0,TRUE
1.1.02.tiff,512x512,OK,7.9994,0.0338,-0.0026,0.0002,97.06,0,TRUE
1.1.03.tiff,512x512,OK,7.9993,0.0441,0.0005,0.0019,96.83,0,TRUE
1.1.04.tiff,512x512,OK,7.9993,0.0659,-0.0008,-0.0035,96.99,0,TRUE
1.1.05.tiff,512x512,OK,7.9994,0.0385,-0.0025,0.0007,97.07,0,TRUE
1.1.06.tiff,512x512,OK,7.9992,-0.0012,-0.001,0.0015,96.71,0,TRUE
1.1.07.tiff,512x512,OK,7.9993,0.053,0.0011,-0.0016,96.92,0,TRUE
1.1.08.tiff,512x512,OK,7.9993,0.0687,0.0026,0.0002,96.79,0,TRUE
1.1.09.tiff,512x512,OK,7.9994,0.069,0.0022,0.0009,97.13,0,TRUE
1.1.10.tiff,512x512,OK,7.9994,0.0491,0.0003,0.0003,97.03,0,TRUE
1.1.11.tiff,512x512,OK,7.9993,0.0549,-0.0027,0.0021,96.84,0,TRUE
1.1.12.tiff,512x512,OK,7.9993,0.053,0.0025,0.0033,96.98,0,TRUE
1.1.13.tiff,512x512,OK,7.9994,-0.0248,-0.0005,0.0017,97.01,0,TRUE
1.2.01.tiff,512x512,OK,7.9993,0.0001,0.0011,0.001,96.97,0,TRUE
1.2.02.tiff,512x512,OK,7.9993,-0.0009,-0.0012,-0.0014,96.97,0,TRUE
1.2.03.tiff,512x512,OK,7.9993,-0.0004,0.0012,-0.0081,96.81,0,TRUE
1.2.04.tiff,512x512,OK,7.9993,0.0017,-0.0006,-0.0004,96.99,0,TRUE
1.2.05.tiff,512x512,OK,7.9993,0.0015,-0.0012,0.0001,96.93,0,TRUE
1.2.06.tiff,512x512,OK,7.9993,-0.0014,0.0011,0.0024,96.81,0,TRUE
1.2.07.tiff,512x512,OK,7.9992,0.005,0.0027,0.0013,96.75,0,TRUE
1.2.08.tiff,512x512,OK,7.9992,0.0025,-0.0012,0.001,96.73,0,TRUE
1.2.09.tiff,512x512,OK,7.9992,0.0007,0.0032,-0.0031,96.67,0,TRUE
1.2.10.tiff,512x512,OK,7.9993,-0.0039,0.0009,-0.0003,96.92,0,TRUE
1.2.11.tiff,512x512,OK,7.9992,-0.0024,0.0014,0.0016,96.6,0,TRUE
1.2.12.tiff,512x512,OK,7.9993,0.0029,-0.0042,0.0026,96.8,0,TRUE
1.2.13.tiff,512x512,OK,7.9994,0.0047,-0.0006,-0.0002,97.04,0,TRUE
1.3.01.tiff,1024x1024,OK,7.9998,0.0422,0.0006,0.0009,98.42,0,TRUE
1.3.02.tiff,1024x1024,OK,7.9998,0.0489,0.0004,0,98.4,0,TRUE
1.3.03.tiff,1024x1024,OK,7.9998,0.0573,-0.0023,0,98.46,0,TRUE
1.3.04.tiff,1024x1024,OK,7.9998,-0.0555,0.0015,0.0002,98.49,0,TRUE
1.3.05.tiff,1024x1024,OK,7.9998,-0.0192,0,0.0001,98.41,0,TRUE
1.3.06.tiff,1024x1024,OK,7.9998,0.0329,0.0007,0.0002,98.37,0,TRUE
1.3.07.tiff,1024x1024,OK,7.9998,0.078,-0.0004,-0.0008,98.52,0,TRUE
1.3.08.tiff,1024x1024,OK,7.9998,0.0782,0.0018,0.0005,98.42,0,TRUE
1.3.09.tiff,1024x1024,OK,7.9998,0.0924,0.0004,0.0007,98.53,0,TRUE
1.3.10.tiff,1024x1024,OK,7.9998,0.087,0.0008,0.001,98.43,0,TRUE
1.3.11.tiff,1024x1024,OK,7.9998,0.0784,-0.0009,-0.0013,98.52,0,TRUE
1.3.12.tiff,1024x1024,OK,7.9999,0.0827,0.0018,0.0004,98.56,0,TRUE
1.3.13.tiff,1024x1024,OK,7.9998,0.0443,-0.0006,-0.0019,98.38,0,TRUE
1.4.01.tiff,1024x1024,OK,7.9998,-0.0442,0.0007,-0.0005,98.4,0,TRUE
1.4.02.tiff,1024x1024,OK,7.9998,0.0065,-0.0003,0.0008,98.39,0,TRUE
1.4.03.tiff,1024x1024,OK,7.9998,0.0186,-0.0009,-0.0006,98.39,0,TRUE
1.4.04.tiff,1024x1024,OK,7.9998,-0.0666,-0.0012,0.0007,98.47,0,TRUE
1.4.05.tiff,1024x1024,OK,7.9998,-0.0134,0.0001,0.0001,98.44,0,TRUE
1.4.06.tiff,1024x1024,OK,7.9998,-0.0495,-0.0007,-0.0005,98.53,0,TRUE
1.4.07.tiff,1024x1024,OK,7.9998,0.0302,0.0004,-0.0027,98.31,0,TRUE
1.4.08.tiff,1024x1024,OK,7.9998,0.0027,-0.0011,0.0019,98.47,0,TRUE
1.4.09.tiff,1024x1024,OK,7.9998,-0.0436,-0.0001,-0.0006,98.54,0,TRUE
1.4.10.tiff,1024x1024,OK,7.9998,-0.0574,-0.0008,-0.0019,98.34,0,TRUE
1.4.11.tiff,1024x1024,OK,7.9998,0.0479,0.0007,0.0008,98.48,0,TRUE
1.4.12.tiff,1024x1024,OK,7.9998,0.059,0.0004,-0.0012,98.43,0,TRUE
